customer_id,response,conversion_probability,recommendation
0,0,0.024408348,LOW PRIORITY
1,1,0.7388916,HIGH PRIORITY
9,0,0.34409347,MEDIUM PRIORITY
13,0,0.010224479,LOW PRIORITY
17,0,0.0054713837,LOW PRIORITY
20,0,0.00057541596,LOW PRIORITY
22,0,0.04092932,LOW PRIORITY
24,0,0.0031399198,LOW PRIORITY
25,0,0.08612455,LOW PRIORITY
35,1,0.057104107,LOW PRIORITY
48,0,0.002312272,LOW PRIORITY
49,0,0.0023770933,LOW PRIORITY
55,0,0.041271817,LOW PRIORITY
67,0,0.38214198,MEDIUM PRIORITY
73,0,0.0004510227,LOW PRIORITY
75,0,0.015969992,LOW PRIORITY
78,0,0.009090448,LOW PRIORITY
87,0,0.17783302,LOW PRIORITY
89,0,0.00647764,LOW PRIORITY
92,0,0.13728845,LOW PRIORITY
113,0,0.003767588,LOW PRIORITY
115,0,0.08836224,LOW PRIORITY
123,0,0.012899036,LOW PRIORITY
125,0,0.09573106,LOW PRIORITY
143,0,0.032157045,LOW PRIORITY
146,0,0.1240806,LOW PRIORITY
153,0,0.017068341,LOW PRIORITY
158,1,0.9311076,HIGH PRIORITY
164,0,0.24613658,LOW PRIORITY
175,0,0.11978307,LOW PRIORITY
176,0,0.00047155068,LOW PRIORITY
178,0,0.01270882,LOW PRIORITY
182,0,0.030230422,LOW PRIORITY
193,0,0.0010701424,LOW PRIORITY
194,0,0.0014229178,LOW PRIORITY
195,1,0.91062456,HIGH PRIORITY
199,0,0.70414007,HIGH PRIORITY
202,0,0.054968644,LOW PRIORITY
203,0,0.8716712,HIGH PRIORITY
213,0,0.0020529393,LOW PRIORITY
217,0,0.32546824,MEDIUM PRIORITY
221,0,0.0063941865,LOW PRIORITY
231,0,0.00043288374,LOW PRIORITY
232,0,0.02860757,LOW PRIORITY
234,1,0.9325779,HIGH PRIORITY
236,0,0.0547615,LOW PRIORITY
238,0,0.013635353,LOW PRIORITY
241,0,0.17588776,LOW PRIORITY
246,0,0.0010499036,LOW PRIORITY
247,1,0.951325,HIGH PRIORITY
252,0,0.2360776,LOW PRIORITY
254,0,0.14123097,LOW PRIORITY
255,0,0.020077553,LOW PRIORITY
257,0,0.023974959,LOW PRIORITY
263,1,0.6999544,HIGH PRIORITY
269,0,0.24840279,LOW PRIORITY
271,0,0.23061508,LOW PRIORITY
273,0,0.2822472,LOW PRIORITY
274,0,0.0029865466,LOW PRIORITY
286,0,0.03513409,LOW PRIORITY
291,0,0.26383865,LOW PRIORITY
295,0,0.008089876,LOW PRIORITY
304,0,0.064691156,LOW PRIORITY
309,0,0.71440285,HIGH PRIORITY
310,0,0.0016138157,LOW PRIORITY
313,0,0.042265836,LOW PRIORITY
322,0,0.0016865225,LOW PRIORITY
326,0,0.03520341,LOW PRIORITY
332,0,0.068321355,LOW PRIORITY
339,1,0.6581391,HIGH PRIORITY
340,1,0.73200285,HIGH PRIORITY
347,0,0.22329333,LOW PRIORITY
359,0,0.03621488,LOW PRIORITY
361,0,0.001365593,LOW PRIORITY
367,0,0.03113517,LOW PRIORITY
368,0,0.030145766,LOW PRIORITY
375,0,0.057890087,LOW PRIORITY
378,0,0.06511888,LOW PRIORITY
380,1,0.5433801,MEDIUM PRIORITY
387,0,0.17418292,LOW PRIORITY
405,0,0.16146258,LOW PRIORITY
425,0,0.0090304,LOW PRIORITY
433,0,0.11560291,LOW PRIORITY
437,0,0.07206856,LOW PRIORITY
