customer_id,recency,total_purchases,total_spend,cluster,segment,response
0,66,17.0,1198.0,0,At Risk,0
1,0,18.0,577.0,2,VIP,1
9,86,11.0,120.0,3,Loyal,0
13,57,6.0,32.0,3,Loyal,0
17,81,28.0,1028.0,0,At Risk,0
20,91,8.0,183.0,3,Loyal,0
22,99,14.0,309.0,3,Loyal,0
24,96,12.0,47.0,3,Loyal,0
25,9,21.0,1115.0,2,VIP,0
35,35,10.0,210.0,1,New,1
48,97,10.0,184.0,3,Loyal,0
49,39,5.0,25.0,1,New,0
55,83,22.0,597.0,0,At Risk,0
67,6,9.0,92.0,1,New,0
73,81,4.0,18.0,3,Loyal,0
75,32,15.0,467.0,1,New,0
78,51,5.0,37.0,3,Loyal,0
87,16,7.0,57.0,1,New,0
89,49,8.0,69.0,1,New,0
92,12,11.0,89.0,1,New,0
113,33,6.0,28.0,1,New,0
115,0,17.0,393.0,1,New,0
123,92,15.0,993.0,0,At Risk,0
125,65,17.0,271.0,3,Loyal,0
143,73,13.0,957.0,0,At Risk,0
146,78,21.0,1323.0,0,At Risk,0
153,29,5.0,46.0,1,New,0
158,3,17.0,1196.0,2,VIP,1
164,59,13.0,269.0,3,Loyal,0
175,93,22.0,1443.0,0,At Risk,0
176,73,12.0,331.0,3,Loyal,0
178,40,26.0,973.0,2,VIP,0
182,62,17.0,397.0,3,Loyal,0
193,81,4.0,16.0,3,Loyal,0
194,55,5.0,41.0,3,Loyal,0
195,21,14.0,246.0,1,New,1
199,33,13.0,315.0,1,New,0
202,54,17.0,1234.0,0,At Risk,0
203,47,22.0,2089.0,2,VIP,0
213,98,10.0,48.0,3,Loyal,0
217,78,23.0,1540.0,0,At Risk,0
221,90,12.0,242.0,3,Loyal,0
231,86,7.0,32.0,3,Loyal,0
232,8,17.0,530.0,2,VIP,0
234,60,6.0,31.0,3,Loyal,1
236,62,10.0,170.0,3,Loyal,0
238,76,39.0,1082.0,0,At Risk,0
241,57,20.0,1574.0,0,At Risk,0
246,71,19.0,312.0,3,Loyal,0
247,16,19.0,357.0,2,VIP,1
252,11,17.0,601.0,2,VIP,0
254,4,18.0,473.0,2,VIP,0
255,31,6.0,21.0,1,New,0
257,74,20.0,1215.0,0,At Risk,0
263,9,8.0,145.0,1,New,1
269,71,21.0,1143.0,0,At Risk,0
271,30,15.0,258.0,1,New,0
273,48,13.0,151.0,1,New,0
274,75,7.0,34.0,3,Loyal,0
286,48,12.0,152.0,1,New,0
291,13,13.0,981.0,2,VIP,0
295,77,22.0,1157.0,0,At Risk,0
304,67,9.0,76.0,3,Loyal,0
309,48,19.0,1101.0,2,VIP,0
310,81,21.0,573.0,0,At Risk,0
313,98,22.0,2088.0,0,At Risk,0
322,93,7.0,41.0,3,Loyal,0
326,38,16.0,315.0,1,New,0
332,56,14.0,275.0,3,Loyal,0
339,82,18.0,496.0,0,At Risk,1
340,1,19.0,497.0,2,VIP,1
347,30,17.0,377.0,1,New,0
359,33,19.0,504.0,2,VIP,0
361,84,4.0,20.0,3,Loyal,0
367,74,20.0,577.0,0,At Risk,0
368,61,14.0,290.0,3,Loyal,0
375,79,16.0,1156.0,0,At Risk,0
378,68,21.0,794.0,0,At Risk,0
380,17,29.0,1804.0,2,VIP,1
387,59,6.0,61.0,3,Loyal,0
405,68,17.0,441.0,3,Loyal,0
425,66,22.0,727.0,0,At Risk,0
433,42,23.0,632.0,2,VIP,0
437,41,23.0,1027.0,2,VIP,0
448,57,21.0,795.0,0,At Risk,0
450,90,12.0,270.0,3,Loyal,0
451,91,5.0,22.0,3,Loyal,0
453,1,7.0,45.0,1,New,0
454,48,28.0,1135.0,2,VIP,0
455,86,10.0,209.0,3,Loyal,0
456,96,7.0,36.0,3,Loyal,0
460,72,17.0,1753.0,0,At Risk,0
466,9,21.0,746.0,2,VIP,0
477,31,22.0,2157.0,2,VIP,1
486,27,18.0,1198.0,2,VIP,0
492,3,19.0,424.0,2,VIP,0
498,28,7.0,57.0,1,New,0
500,79,24.0,1941.0,0,At Risk,1
503,88,7.0,53.0,3,Loyal,0
520,81,4.0,30.0,3,Loyal,0
521,42,18.0,581.0,2,VIP,0
523,51,7.0,74.0,3,Loyal,0
524,47,6.0,96.0,1,New,0
528,99,20.0,1383.0,0,At Risk,0
531,55,33.0,1662.0,0,At Risk,1
535,18,27.0,778.0,2,VIP,0
538,78,7.0,125.0,3,Loyal,0
544,51,14.0,976.0,0,At Risk,0
550,87,21.0,708.0,0,At Risk,0
564,81,30.0,906.0,0,At Risk,1
569,32,19.0,1991.0,2,VIP,1
574,96,7.0,125.0,3,Loyal,0
577,10,6.0,22.0,1,New,0
590,35,16.0,1812.0,2,VIP,1
591,76,20.0,677.0,0,At Risk,0
606,87,4.0,15.0,3,Loyal,0
607,31,22.0,521.0,2,VIP,0
610,60,23.0,480.0,0,At Risk,0
615,29,11.0,343.0,1,New,0
618,17,22.0,797.0,2,VIP,0
624,5,4.0,35.0,1,New,1
626,28,5.0,43.0,1,New,0
635,51,25.0,610.0,0,At Risk,0
640,61,25.0,1026.0,0,At Risk,0
641,77,7.0,119.0,3,Loyal,0
642,69,8.0,103.0,3,Loyal,0
663,46,6.0,71.0,1,New,0
675,67,16.0,332.0,3,Loyal,0
679,49,6.0,38.0,1,New,0
692,88,4.0,16.0,3,Loyal,0
697,78,21.0,2047.0,0,At Risk,0
701,58,18.0,1179.0,0,At Risk,0
702,80,19.0,521.0,0,At Risk,0
709,27,18.0,1103.0,2,VIP,0
713,72,15.0,442.0,3,Loyal,0
716,63,27.0,976.0,0,At Risk,0
736,67,7.0,52.0,3,Loyal,0
737,56,15.0,2231.0,0,At Risk,0
738,35,12.0,182.0,1,New,0
749,31,9.0,145.0,1,New,1
760,8,23.0,811.0,2,VIP,0
762,27,21.0,823.0,2,VIP,0
771,79,10.0,194.0,3,Loyal,0
773,64,23.0,595.0,0,At Risk,0
793,24,6.0,45.0,1,New,0
796,17,26.0,1071.0,2,VIP,0
798,71,5.0,27.0,3,Loyal,0
800,57,6.0,32.0,3,Loyal,0
803,82,4.0,21.0,3,Loyal,0
807,35,17.0,292.0,1,New,0
810,49,19.0,641.0,0,At Risk,0
819,84,25.0,1103.0,0,At Risk,0
821,46,22.0,2077.0,2,VIP,0
830,5,15.0,1658.0,2,VIP,1
832,90,23.0,747.0,0,At Risk,0
833,62,9.0,72.0,3,Loyal,0
837,0,12.0,174.0,1,New,0
839,54,9.0,170.0,3,Loyal,0
843,47,25.0,805.0,2,VIP,0
849,65,22.0,660.0,0,At Risk,0
850,4,22.0,757.0,2,VIP,0
851,48,26.0,642.0,2,VIP,0
868,99,6.0,65.0,3,Loyal,0
873,3,28.0,1178.0,2,VIP,1
879,66,21.0,458.0,0,At Risk,0
880,47,6.0,96.0,1,New,0
891,60,4.0,11.0,3,Loyal,0
895,69,20.0,594.0,0,At Risk,0
898,39,10.0,147.0,1,New,0
902,74,13.0,312.0,3,Loyal,0
905,38,11.0,84.0,1,New,0
907,36,18.0,362.0,1,New,0
916,67,6.0,31.0,3,Loyal,0
922,79,6.0,48.0,3,Loyal,0
933,31,4.0,25.0,1,New,0
938,30,7.0,87.0,1,New,0
940,9,14.0,311.0,1,New,0
942,36,14.0,299.0,1,New,1
944,6,14.0,393.0,1,New,0
945,53,9.0,133.0,3,Loyal,0
946,92,11.0,210.0,3,Loyal,0
948,32,8.0,41.0,1,New,0
954,77,7.0,102.0,3,Loyal,0
955,81,17.0,240.0,3,Loyal,1
961,92,17.0,860.0,0,At Risk,0
965,34,21.0,590.0,2,VIP,0
966,98,25.0,691.0,0,At Risk,0
967,11,26.0,515.0,2,VIP,1
968,24,12.0,187.0,1,New,0
975,25,15.0,264.0,1,New,0
977,10,20.0,414.0,2,VIP,0
979,11,8.0,112.0,1,New,0
983,82,12.0,414.0,3,Loyal,0
988,84,18.0,1193.0,0,At Risk,0
999,95,25.0,730.0,0,At Risk,1
1000,48,27.0,964.0,2,VIP,0
1008,31,24.0,1021.0,2,VIP,0
1010,94,7.0,78.0,3,Loyal,0
1012,26,24.0,884.0,2,VIP,0
1016,43,7.0,55.0,1,New,0
1020,70,19.0,1366.0,0,At Risk,0
1029,27,12.0,279.0,1,New,0
1030,72,6.0,38.0,3,Loyal,0
1031,5,26.0,1062.0,2,VIP,0
1041,3,19.0,424.0,2,VIP,1
1044,44,20.0,596.0,2,VIP,0
1045,55,13.0,279.0,3,Loyal,0
1048,11,10.0,178.0,1,New,1
1050,58,8.0,65.0,3,Loyal,0
1052,24,27.0,1001.0,2,VIP,0
1055,40,5.0,45.0,1,New,0
1064,18,5.0,42.0,1,New,0
1065,85,19.0,1918.0,0,At Risk,0
1071,10,26.0,1034.0,2,VIP,0
1072,64,8.0,93.0,3,Loyal,0
1077,52,15.0,1020.0,0,At Risk,0
1079,59,19.0,1086.0,0,At Risk,0
1081,26,25.0,1019.0,2,VIP,0
1087,30,10.0,173.0,1,New,1
1092,17,20.0,1147.0,2,VIP,0
1100,33,11.0,61.0,1,New,0
1103,60,20.0,2053.0,0,At Risk,1
1109,38,4.0,12.0,1,New,0
1118,87,22.0,685.0,0,At Risk,0
1127,62,20.0,1958.0,0,At Risk,0
1131,54,7.0,95.0,3,Loyal,0
1135,96,12.0,47.0,3,Loyal,0
1137,87,17.0,1379.0,0,At Risk,0
1139,56,22.0,1512.0,0,At Risk,1
1142,91,16.0,428.0,3,Loyal,0
1143,43,7.0,55.0,1,New,0
1146,5,26.0,874.0,2,VIP,1
1150,36,15.0,1853.0,2,VIP,0
1158,27,8.0,144.0,1,New,0
1160,48,10.0,49.0,1,New,0
1162,23,20.0,653.0,2,VIP,1
1165,62,24.0,496.0,0,At Risk,0
1168,62,21.0,1401.0,0,At Risk,0
1170,45,14.0,244.0,1,New,0
1172,71,25.0,2034.0,0,At Risk,1
1173,73,13.0,2252.0,0,At Risk,1
1175,24,12.0,426.0,1,New,1
1176,50,4.0,25.0,1,New,0
1177,77,11.0,129.0,3,Loyal,0
1183,11,4.0,22.0,1,New,0
1184,46,25.0,845.0,2,VIP,0
1204,45,30.0,1829.0,2,VIP,0
1212,7,25.0,936.0,2,VIP,0
1215,49,23.0,1572.0,0,At Risk,0
1225,47,19.0,1495.0,2,VIP,0
1232,54,17.0,1244.0,0,At Risk,0
1241,1,6.0,51.0,1,New,1
1245,45,23.0,1371.0,2,VIP,0
1250,82,7.0,84.0,3,Loyal,0
1272,49,26.0,903.0,2,VIP,0
1277,29,28.0,1004.0,2,VIP,0
1291,90,16.0,351.0,3,Loyal,0
1295,96,19.0,725.0,0,At Risk,0
1307,15,10.0,63.0,1,New,0
1321,49,9.0,56.0,1,New,0
1324,93,8.0,91.0,3,Loyal,0
1328,56,20.0,683.0,0,At Risk,0
1331,54,7.0,72.0,3,Loyal,0
1340,42,27.0,1795.0,2,VIP,0
1343,55,22.0,586.0,0,At Risk,0
1349,4,8.0,148.0,1,New,0
1351,25,32.0,1220.0,2,VIP,0
1357,90,19.0,1562.0,0,At Risk,0
1361,26,16.0,1435.0,2,VIP,1
1362,75,14.0,449.0,3,Loyal,0
1371,72,16.0,984.0,0,At Risk,0
1377,24,12.0,285.0,1,New,0
1378,24,23.0,694.0,2,VIP,0
1379,12,11.0,241.0,1,New,0
