customer_id,age,income,total_spend,total_purchases,avg_spend_per_purchase,web_purchase_ratio,deal_sensitivity,recency,num_web_visits_month,campaign_engagement_rate,total_children,has_children,customer_tenure_days,income_per_person,education_rank,marital_clean,complain,response
0,39,70951.0,1198.0,17.0,70.47058823529412,0.17647058823529413,0.058823529411764705,66,1,0.0,0,0,4788,70951.0,3,Married,0,0
1,63,57091.0,577.0,18.0,32.05555555555556,0.3888888888888889,0.05555555555555555,0,5,0.2,0,0,4381,57091.0,3,Single,0,1
9,49,46098.0,120.0,11.0,10.909090909090908,0.2727272727272727,0.36363636363636365,86,8,0.0,2,1,5047,15366.0,4,Single,0,0
13,77,25358.0,32.0,6.0,5.333333333333333,0.16666666666666666,0.3333333333333333,57,6,0.0,1,1,4709,12679.0,5,Widow,0,0
17,53,60491.0,1028.0,28.0,36.714285714285715,0.21428571428571427,0.14285714285714285,81,5,0.0,1,1,4663,30245.5,5,Married,0,0
20,59,46891.0,183.0,8.0,22.875,0.25,0.125,91,4,0.0,1,1,4668,23445.5,2,Married,0,0
22,48,46310.0,309.0,14.0,22.071428571428573,0.42857142857142855,0.14285714285714285,99,8,0.0,1,1,4940,23155.0,3,Divorced,0,0
24,64,17144.0,47.0,12.0,3.9166666666666665,0.25,0.4166666666666667,96,7,0.0,2,1,4501,5714.666666666667,4,Married,0,0
25,66,65148.0,1115.0,21.0,53.095238095238095,0.2857142857142857,0.09523809523809523,9,4,0.0,1,1,4957,32574.0,3,Married,0,0
35,37,25545.0,210.0,10.0,21.0,0.2,0.3,35,6,0.0,1,1,5026,12772.5,3,Married,0,1
48,60,55761.0,184.0,10.0,18.4,0.4,0.2,97,6,0.2,1,1,4433,27880.5,3,Married,0,0
49,54,20587.0,25.0,5.0,5.0,0.2,0.2,39,7,0.0,1,1,4416,10293.5,3,Single,0,0
55,61,56253.0,597.0,22.0,27.136363636363637,0.3181818181818182,0.18181818181818182,83,6,0.0,1,1,4936,28126.5,3,Married,0,0
67,52,46423.0,92.0,9.0,10.222222222222221,0.2222222222222222,0.3333333333333333,6,7,0.0,2,1,4651,15474.333333333334,4,Single,0,0
73,71,51411.0,18.0,4.0,4.5,0.0,0.25,81,5,0.0,3,1,4766,12852.75,5,Single,0,0
75,42,41039.0,467.0,15.0,31.133333333333333,0.5333333333333333,0.06666666666666667,32,8,0.0,0,0,4706,41039.0,2,Married,0,0
78,55,25293.0,37.0,5.0,7.4,0.2,0.2,51,8,0.0,1,1,4654,12646.5,3,Married,0,0
87,43,27733.0,57.0,7.0,8.142857142857142,0.2857142857142857,0.2857142857142857,16,7,0.0,1,1,4674,13866.5,2,Married,0,0
89,49,22212.0,69.0,8.0,8.625,0.25,0.25,49,6,0.0,1,1,4569,11106.0,2,Married,0,0
92,36,34176.0,89.0,11.0,8.090909090909092,0.2727272727272727,0.36363636363636365,12,6,0.0,1,1,4415,17088.0,3,Single,0,0
113,73,30833.0,28.0,6.0,4.666666666666667,0.16666666666666666,0.3333333333333333,33,5,0.0,2,1,4715,10277.666666666666,3,Married,0,0
115,58,43456.0,393.0,17.0,23.11764705882353,0.29411764705882354,0.17647058823529413,0,5,0.0,1,1,4827,21728.0,4,Single,0,0
123,73,67046.0,993.0,15.0,66.2,0.26666666666666666,0.13333333333333333,92,2,0.0,1,1,4906,33523.0,3,Widow,0,0
125,66,53083.0,271.0,17.0,15.941176470588236,0.29411764705882354,0.35294117647058826,65,7,0.2,2,1,4777,17694.333333333332,2,Married,0,0
143,54,61209.0,957.0,13.0,73.61538461538461,0.38461538461538464,0.07692307692307693,73,2,0.0,0,0,4675,61209.0,3,Single,0,0
146,64,76045.0,1323.0,21.0,63.0,0.19047619047619047,0.047619047619047616,78,2,0.2,0,0,4593,76045.0,5,Single,0,0
153,71,23272.0,46.0,5.0,9.2,0.2,0.2,29,4,0.0,0,0,4622,23272.0,3,Divorced,0,0
158,79,71604.0,1196.0,17.0,70.3529411764706,0.47058823529411764,0.058823529411764705,3,4,0.2,0,0,4591,71604.0,5,Married,0,1
164,47,28973.0,269.0,13.0,20.692307692307693,0.38461538461538464,0.15384615384615385,59,8,0.0,0,0,4991,28973.0,5,Married,0,0
175,38,71952.0,1443.0,22.0,65.5909090909091,0.36363636363636365,0.09090909090909091,93,4,0.4,1,1,4902,35976.0,3,Married,0,0
176,44,67506.0,331.0,12.0,27.583333333333332,0.3333333333333333,0.08333333333333333,73,3,0.0,1,1,4545,33753.0,2,Single,0,0
178,68,62503.0,973.0,26.0,37.42307692307692,0.3076923076923077,0.15384615384615385,40,5,0.0,1,1,4863,31251.5,3,Married,0,0
182,78,44124.0,397.0,17.0,23.352941176470587,0.35294117647058826,0.23529411764705882,62,8,0.0,1,1,4781,22062.0,5,Married,0,0
